wavelength_Q32,abs_Q32,wavelength_Q33,abs_Q33,wavelength_Q34,abs_Q34
780,604.68,782,238.96,780,82.218
781,630.32,783,250.71,781,93.69
782,613.23,784,254.62,782,93.69
783,600.41,785,227.2,783,93.69
784,591.86,786,242.87,784,107.07
785,615.36,787,215.45,785,97.514
786,604.68,788,246.79,786,82.218
787,598.27,789,219.37,787,86.042
788,585.45,790,223.29,788,93.69
789,598.27,791,215.45,789,87.954
790,596.13,792,234.65,790,87.954
791,583.31,793,223.29,791,74.57
792,585.45,794,258.54,792,74.57
793,589.72,795,223.29,793,87.954
794,589.72,796,254.62,794,86.042
795,576.9,797,266.38,795,95.602
796,585.45,798,227.2,796,68.834
797,564.08,799,238.96,797,103.25
798,561.95,800,176.28,798,86.042
799,559.81,,,799,80.306
800,568.36,,,800,68.834
